sciname_with_author,family,state_rank,global_rank,federal_listing
Crassula aquatica (L.) Schonland,Crassulaceae,S1S2,G5,
Crataegus suksdorfii (Sarg.) Kruschke,Rosaceae,SH,GNR,
Cryptantha shackletteana L.C.Higgins,Boraginaceae,S1,G1Q,BLM Sensitive
Cryptogramma stelleri (S.G. Gmel.) Prantl,Pteridaceae,S3S4,G5,
Cypripedium montanum Douglas ex Lindl.,Orchidaceae,S2,G4,USFS
Cypripedium parviflorum var. exiliens Sheviak,Orchidaceae,S2S3,G5,BLM Watch
Cypripedium parviflorum var. pubescens (Willd.) Knight,Orchidaceae,S1,G5TNR,USFS
Cypripedium yatabeanum Makino,Orchidaceae,S1,GNR,
Danthonia spicata (L.) P. Beauv. ex Roem. & Schult.,Poaceae,S1,G5,
Douglasia arctica Hook.,Primulaceae,S3,G3,BLM Sensitive
"Douglasia beringensis S. Keslo, Jurtz., & D.F. Murray",Primulaceae,S2,G2,BLM Sensitive
Draba aleutica Ekman,Brassicaceae,S2,G2,
Draba chamissonis G. Don,Brassicaceae,S1Q,GNR,
Draba densifolia Nuttall,Brassicaceae,S2S3,G5,BLM Watch
Draba incerta Payson,Brassicaceae,S3,G5,
Draba macounii O.E. Schulz,Brassicaceae,S3,G3G4,BLM Watch
Draba micropetala Hook.,Brassicaceae,S1S2,GNR,BLM Sensitive
Draba mulliganii Al-Shehbaz,Brassicaceae,S3,GNR,BLM Watch
Draba murrayi G.A. Mulligan,Brassicaceae,S2S3,G2,BLM Sensitive
Draba ogilviensis Hulten,Brassicaceae,S1,G3,BLM Sensitive
Draba oligosperma Hook.,Brassicaceae,S1,G5,
Draba pauciflora R. Brown,Brassicaceae,S2,G4,BLM Sensitive
Draba praealta Greene,Brassicaceae,S1,G5,
Draba subcapitata Simmons,Brassicaceae,S1S2,G4,
Eleocharis nitida Fernald,Cyperaceae,S1S2,G3G4,
Eleocharis quinqueflora (Hartmann) O. Schwartz,Cyperaceae,S2,G5,
Elymus lanceolatus ssp. psammophilus (J. M. Gillett & H. Senn) A. Love,Poaceae,S1S2,G3G4,
Erigeron acris ssp. kamtschaticus (DC.) H. Hara,Asteraceae,SP,G5T4T5,
Erigeron glacialis var. glacialis (Nuttall) A. Nelson,Asteraceae,SU,GNR,
Erigeron muirii A. Gray,Asteraceae,S2S3,G2G3,BLM Sensitive
Erigeron ochroleucus Nutt.,Asteraceae,S1S2,G5,
Erigeron porsildii G.L. Nesom & D.F.Murray,Asteraceae,S3S4,G3G4,BLM Watch
Erigeron yukonensis Rydberg,Asteraceae,SU,G2G4,
Eriogonum flavum var. aquilinum Reveal,Polygonaceae,S2,G5T2,BLM Watch
Eriophorum viridicarinatum (Engelm.) Fernald,Cyperaceae,S3,G5,
Eritrichium villosum (Ledeb.) Bunge,Boraginaceae,S1,GNR,
Erysimum angustatum Rydb.,Brassicaceae,S2,G5T2,BLM Watch
"Festuca edlundiae S. Aiken, Consaul, & Lefkovich",Poaceae,S1,G3G4,
Festuca minutiflora Rydberg,Poaceae,S1,G5,
Festuca occidentalis Hook.,Poaceae,S1,G5,
Festuca viviparoidea Krajina ex Pavlick,Poaceae,SU,G4G5,
Festuca viviparoidea ssp. krajinae Pavlick,Poaceae,SU,G4G5,
Festuca viviparoidea ssp. viviparoidea Krajina ex Pavlick,Poaceae,SU,G4G5,
Gaultheria pyroloides Hook. & Thomson ex Miquel,Ericaceae,S1,G3G4,
Gentianella auriculata (Pall.) J.M. Gillett,Gentianaceae,S1,G4G5,
Gentianella propinqua ssp. aleutica (Cham. & Schltdl.) J.M. Gillett,Gentianaceae,S3,G5T2T4,BLM Watch
Gentianopsis barbata ssp. barbata (Froel) Ma,Gentianaceae,S3Q,GNR,BLM Watch
Gentianopsis richardsonii (A.E. Porlsild),Gentianaceae,S1S2,GNR,BLM Sensitive
Glehnia littoralis ssp. leiocarpa (Mathias) Hulten,Apiaceae,S2S3,G5T5,
Glyceria leptostachya Buckley,Poaceae,S3,G3,
Glyceria pulchella (Nash) K. Schum.,Poaceae,S3S4,G5,
