"","sciname_with_author","family","state_rank","global_rank","federal_listing","ssp_var","genus","species","sciname_only","intraspecific_qualifier","intraspecies"
"163","Mertensia drummondii (Lehm.) G.Don","Boraginaceae","S2","G2G3","BLM Sensitive",FALSE,"Mertensia","drummondii","Mertensia drummondii","NULL","NULL"
"164","Mertensia paniculata var. alaskana (Britton) L.O.Williams","Boraginaceae","S3S4Q","G5TNR",NA,TRUE,"Mertensia","paniculata","Mertensia paniculata var. alaskana","var.","alaskana"
"165","Micranthes nelsoniana ssp. insularis (Hulten) Elven & D.F. Murray","Saxifragaceae","S3","G5T3T4","BLM Sensitive",TRUE,"Micranthes","nelsoniana","Micranthes nelsoniana ssp. insularis","ssp.","insularis"
"166","Micranthes nelsoniana var. carlottae (Calder & Savile) Gornall & H. Ohba","Saxifragaceae","S2","G5T3",NA,TRUE,"Micranthes","nelsoniana","Micranthes nelsoniana var. carlottae","var.","carlottae"
"167","Micranthes nudicaulis ssp. nudicaulis (D. Don) Gornall & H. Ohba","Saxifragaceae","S3","G3G4Q","BLM Watch",TRUE,"Micranthes","nudicaulis","Micranthes nudicaulis ssp. nudicaulis","ssp.","nudicaulis"
"168","Micranthes occidentalis (S. Watson) Small","Saxifragaceae","S1","G5",NA,FALSE,"Micranthes","occidentalis","Micranthes occidentalis","NULL","NULL"
"169","Micranthes porsildiana (Calder & Savile) Elven & D.F. Murray","Saxifragaceae","S3","G4","BLM Sensitive",FALSE,"Micranthes","porsildiana","Micranthes porsildiana","NULL","NULL"
"170","Micranthes tolmiei (Torr. & A. Gray) Brouillet & Gornall","Saxifragaceae","S2S3","G5",NA,FALSE,"Micranthes","tolmiei","Micranthes tolmiei","NULL","NULL"
"171","Mimulus lewisii Pursh","Phrymaceae","S2S3","G5",NA,FALSE,"Mimulus","lewisii","Mimulus lewisii","NULL","NULL"
"172","Minuartia dawsonensis (Britt.) House","Caryophyllaceae","S3S4","G5",NA,FALSE,"Minuartia","dawsonensis","Minuartia dawsonensis","NULL","NULL"
"173","Mitella nuda L.","Saxifragaceae","S1","G5",NA,FALSE,"Mitella","nuda","Mitella nuda","NULL","NULL"
"174","Monotropa uniflora L.","Ericaceae","S1","G5",NA,FALSE,"Monotropa","uniflora","Monotropa uniflora","NULL","NULL"
"175","Montia vassilievii ssp. vassilievii (Kuzen.) McNeill","Montiaceae","S3Q","GNRTNR","BLM Sensitive",TRUE,"Montia","vassilievii","Montia vassilievii ssp. vassilievii","ssp.","vassilievii"
"176","Myriophyllum farwellii Morong","Haloragaceae","S1","G5",NA,FALSE,"Myriophyllum","farwellii","Myriophyllum farwellii","NULL","NULL"
"177","Najas flexilis (Willd.) Rostk. & W. L. E. Schmidt","Hydrocharitaceae","S3","G5",NA,FALSE,"Najas","flexilis","Najas flexilis","NULL","NULL"
"178","Nuphar variegata Durand","Nymphaeaceae","S1","G5",NA,FALSE,"Nuphar","variegata","Nuphar variegata","NULL","NULL"
"179","Ophioglossum pusillum Rafinesque","Ophioglossaceae","S1","G5",NA,FALSE,"Ophioglossum","pusillum","Ophioglossum pusillum","NULL","NULL"
"180","Orobanche fasciculata Nutt.","Orobanchaceae","S1","G4",NA,FALSE,"Orobanche","fasciculata","Orobanche fasciculata","NULL","NULL"
"181","Orobanche uniflora L.","Orobanchaceae","S1S2","G5","BLM Sensitive",FALSE,"Orobanche","uniflora","Orobanche uniflora","NULL","NULL"
"182","Oxygraphis glacialis (Fisch.) Bunge","Ranunculaceae","S3","G4G5","BLM Watch",FALSE,"Oxygraphis","glacialis","Oxygraphis glacialis","NULL","NULL"
"183","Oxytropis arctica var. barnebyana S.L. Welsh","Fabaceae","SU","G4?T2Q","BLM Sensitive",TRUE,"Oxytropis","arctica","Oxytropis arctica var. barnebyana","var.","barnebyana"
"184","Oxytropis kobukensis S.L. Welsh","Fabaceae","S2","G2",NA,FALSE,"Oxytropis","kobukensis","Oxytropis kobukensis","NULL","NULL"
"185","Oxytropis kokrinensis A.E. Porsild","Fabaceae","S3","G3","BLM Sensitive",FALSE,"Oxytropis","kokrinensis","Oxytropis kokrinensis","NULL","NULL"
"186","Oxytropis tananensis Jurtz.","Fabaceae","S3S4Q","GNR",NA,FALSE,"Oxytropis","tananensis","Oxytropis tananensis","NULL","NULL"
"187","Packera subnuda var. moresbiensis (Calder & R. L. Taylor) Trock","Asteraceae","S3","GNRT3T4",NA,TRUE,"Packera","subnuda","Packera subnuda var. moresbiensis","var.","moresbiensis"
"188","Papaver gorodkovii Tolmatchew & Petrovsky","Papaveraceae","S2S3","G3","BLM Sensitive",FALSE,"Papaver","gorodkovii","Papaver gorodkovii","NULL","NULL"
"189","Parasenecio auriculatus (DC.) J. R. Grant","Asteraceae","S2","G4",NA,FALSE,"Parasenecio","auriculatus","Parasenecio auriculatus","NULL","NULL"
"190","Parrya nauruaq Al-Shehbaz, J.R. Grant, R. Lipkin, D.F. Murray, & C.L. Parker","Brassicaceae","S1S2","G2","BLM Sensitive",FALSE,"Parrya","nauruaq","Parrya nauruaq","NULL","NULL"
"191","Pedicularis groenlandica Retz.","Orobanchaceae","S2","G5",NA,FALSE,"Pedicularis","groenlandica","Pedicularis groenlandica","NULL","NULL"
"192","Pedicularis hirsuta L.","Orobanchaceae","S1","G5?","BLM Sensitive",FALSE,"Pedicularis","hirsuta","Pedicularis hirsuta","NULL","NULL"
"193","Penstemon serrulatus Menzies ex Rees","Plantaginaceae","S1","G4",NA,FALSE,"Penstemon","serrulatus","Penstemon serrulatus","NULL","NULL"
"194","Phacelia franklinii (R. Br.) A. Gray","Hydrophyllaceae","SP","G5",NA,FALSE,"Phacelia","franklinii","Phacelia franklinii","NULL","NULL"
"195","Phacelia mollis J.F. Macbr.","Hydrophyllaceae","S3","G3","BLM Sensitive",FALSE,"Phacelia","mollis","Phacelia mollis","NULL","NULL"
"196","Phacelia sericea (Graham) A. Gray","Hydrophyllaceae","S2","G5",NA,FALSE,"Phacelia","sericea","Phacelia sericea","NULL","NULL"
"197","Phlox hoodii Richardson","Polemoniaceae","SU","G5",NA,FALSE,"Phlox","hoodii","Phlox hoodii","NULL","NULL"
"198","Phlox richardsonii Hook.","Polemoniaceae","SU","G4",NA,FALSE,"Phlox","richardsonii","Phlox richardsonii","NULL","NULL"
"199","Phyllodoce empetriformis (Sm.) D. Don","Ericaceae","S2","G5",NA,FALSE,"Phyllodoce","empetriformis","Phyllodoce empetriformis","NULL","NULL"
"200","Phyllospadix serrulatus Rupr. Ex Asch","Zosteraceae","S3","G4","BLM Watch",FALSE,"Phyllospadix","serrulatus","Phyllospadix serrulatus","NULL","NULL"
"201","Physaria calderi (G.A. Mulligan & A.E. Porsild) OnullKane & Al-Shehbaz","Brassicaceae","S2","G3G4","BLM Sensitive",FALSE,"Physaria","calderi","Physaria calderi","NULL","NULL"
"202","Physocarpus capitatus (Pursh) Kuntze","Rosaceae","S2","G5",NA,FALSE,"Physocarpus","capitatus","Physocarpus capitatus","NULL","NULL"
"203","Picris hieracioides L.","Asteraceae","S1","G5",NA,FALSE,"Picris","hieracioides","Picris hieracioides","NULL","NULL"
"204","Plagiobothrys orientalis (L.) I.M.Johnst.","Boraginaceae","S3","G3G4","BLM Watch",FALSE,"Plagiobothrys","orientalis","Plagiobothrys orientalis","NULL","NULL"
"205","Platanthera ephemerantha R.M. Bateman","Orchidaceae","S2","G3",NA,FALSE,"Platanthera","ephemerantha","Platanthera ephemerantha","NULL","NULL"
"206","Platanthera orbiculata (Pursh) Lindl.","Orchidaceae","S3S4","G5","USFS",FALSE,"Platanthera","orbiculata","Platanthera orbiculata","NULL","NULL"
"207","Platanthera tipuloides var. behringiana (Rydb.) Hulten","Orchidaceae","S1S2","G4G5T2T3",NA,TRUE,"Platanthera","tipuloides","Platanthera tipuloides var. behringiana","var.","behringiana"
"208","Platanthera unalascensis (Spreng.) Kurtz.","Orchidaceae","S2S3","G5","USFS",FALSE,"Platanthera","unalascensis","Platanthera unalascensis","NULL","NULL"
"209","Pleuropogon sabinei R. Br.","Poaceae","S1S2","G4G5","BLM Sensitive",FALSE,"Pleuropogon","sabinei","Pleuropogon sabinei","NULL","NULL"
"210","Poa hartzii ssp. alaskana Soreng","Poaceae","S1S2","G3G4T1T2","BLM Sensitive",TRUE,"Poa","hartzii","Poa hartzii ssp. alaskana","ssp.","alaskana"
"211","Poa macrantha Vasey","Poaceae","S1S2","G5","BLM Sensitive",FALSE,"Poa","macrantha","Poa macrantha","NULL","NULL"
"212","Poa porsildii Gjærev.","Poaceae","S2S3","G3","BLM Sensitive",FALSE,"Poa","porsildii","Poa porsildii","NULL","NULL"
"213","Poa secunda ssp. secunda J. Presl","Poaceae","S2","G5TNR",NA,TRUE,"Poa","secunda","Poa secunda ssp. secunda","ssp.","secunda"
"214","Poa sublanata Reverd.","Poaceae","S2","GNR","BLM Sensitive",FALSE,"Poa","sublanata","Poa sublanata","NULL","NULL"
"215","Podagrostis humilis (Vasey) Bjorkman","Poaceae","SU","G5",NA,FALSE,"Podagrostis","humilis","Podagrostis humilis","NULL","NULL"
"216","Podagrostis thurberiana (Hitchc.) Hulten","Poaceae","S3","G5",NA,FALSE,"Podagrostis","thurberiana","Podagrostis thurberiana","NULL","NULL"
"217","Podistera yukonensis Mathias & Constance","Apiaceae","S1S2","G3G4","BLM Sensitive",FALSE,"Podistera","yukonensis","Podistera yukonensis","NULL","NULL"
"218","Polygonum fowleri ssp. fowleri B.L. Robinson","Polygonaceae","S3S4","G5TNR",NA,TRUE,"Polygonum","fowleri","Polygonum fowleri ssp. fowleri","ssp.","fowleri"
"219","Polygonum minimum S. Watson","Polygonaceae","S1","G5",NA,FALSE,"Polygonum","minimum","Polygonum minimum","NULL","NULL"
"220","Polypodium sibiricum Siplivinskij","Polypodiaceae","S3","G5",NA,FALSE,"Polypodium","sibiricum","Polypodium sibiricum","NULL","NULL"
"221","Polystichum aleuticum C. Christens.","Dryopteridaceae","S1","G1","USFWS Endangered",FALSE,"Polystichum","aleuticum","Polystichum aleuticum","NULL","NULL"
"222","Polystichum kruckebergii W.H. Wagner","Dryopteridaceae","S1","G4","USFS",FALSE,"Polystichum","kruckebergii","Polystichum kruckebergii","NULL","NULL"
"223","Polystichum microchlamys (H. Christ) Matsumura","Dryopteridaceae","S1","G4?",NA,FALSE,"Polystichum","microchlamys","Polystichum microchlamys","NULL","NULL"
"224","Polystichum setigerum (K. Presl) K. Presl","Dryopteridaceae","S3","G3",NA,FALSE,"Polystichum","setigerum","Polystichum setigerum","NULL","NULL"
"225","Potamogeton obtusifolius Mert. & W.D.J. Koch","Potamogetonaceae","S3","G5",NA,FALSE,"Potamogeton","obtusifolius","Potamogeton obtusifolius","NULL","NULL"
"226","Potamogeton robbinsii Oakes","Potamogetonaceae","S2","G5",NA,FALSE,"Potamogeton","robbinsii","Potamogeton robbinsii","NULL","NULL"
"227","Potamogeton subsibiricus Hagstrom","Potamogetonaceae","S3S4","G3G4","BLM Watch",FALSE,"Potamogeton","subsibiricus","Potamogeton subsibiricus","NULL","NULL"
"228","Potentilla drummondii Lehm.","Rosaceae","S2S3","G5","BLM Watch",FALSE,"Potentilla","drummondii","Potentilla drummondii","NULL","NULL"
"229","Potentilla fragiformis Willd. Ex Schltdl.","Rosaceae","S1S2","G4","BLM Sensitive",FALSE,"Potentilla","fragiformis","Potentilla fragiformis","NULL","NULL"
"230","Potentilla rubricaulis Lehm.","Rosaceae","SU","G4",NA,FALSE,"Potentilla","rubricaulis","Potentilla rubricaulis","NULL","NULL"
"231","Potentilla stipularis L.","Rosaceae","S2","G5","BLM Watch",FALSE,"Potentilla","stipularis","Potentilla stipularis","NULL","NULL"
"232","Primula cuneifolia ssp. cuneifolia Ledeb.","Primulaceae","S1","G5TNR",NA,TRUE,"Primula","cuneifolia","Primula cuneifolia ssp. cuneifolia","ssp.","cuneifolia"
"233","Primula tschuktschorum Kjellman","Primulaceae","S3","G2G3","BLM Sensitive",FALSE,"Primula","tschuktschorum","Primula tschuktschorum","NULL","NULL"
"234","Puccinellia andersonii Swallen","Poaceae","S1S2","G3G5",NA,FALSE,"Puccinellia","andersonii","Puccinellia andersonii","NULL","NULL"
"235","Puccinellia angustata (R. Br.) E.L. Rand & Redfield","Poaceae","S1","G4Q",NA,FALSE,"Puccinellia","angustata","Puccinellia angustata","NULL","NULL"
"236","Puccinellia arctica (Hook.) Fernald & Weath.","Poaceae","S1","G4G5",NA,FALSE,"Puccinellia","arctica","Puccinellia arctica","NULL","NULL"
"237","Puccinellia banksiensis Consaul","Poaceae","S1","G1G2","BLM Sensitive",FALSE,"Puccinellia","banksiensis","Puccinellia banksiensis","NULL","NULL"
"238","Puccinellia vaginata (Lange) Fernald & Weath.","Poaceae","S1","G4","BLM Sensitive",FALSE,"Puccinellia","vaginata","Puccinellia vaginata","NULL","NULL"
"239","Puccinellia vahliana (Liebm.) Scribn. & Merr.","Poaceae","S3","G4","BLM Watch",FALSE,"Puccinellia","vahliana","Puccinellia vahliana","NULL","NULL"
"240","Puccinellia wrightii ssp. wrightii (Scribn. & Merr.) Tzvelev","Poaceae","S3","G3G4TNR","BLM Watch",TRUE,"Puccinellia","wrightii","Puccinellia wrightii ssp. wrightii","ssp.","wrightii"
"241","Ranunculus camissonis Schltdl.","Ranunculaceae","S3","GNR","BLM Watch",FALSE,"Ranunculus","camissonis","Ranunculus camissonis","NULL","NULL"
"242","Ranunculus glacialis ssp. alaskensis Jurtz.","Ranunculaceae","S1S2","G4T2",NA,TRUE,"Ranunculus","glacialis","Ranunculus glacialis ssp. alaskensis","ssp.","alaskensis"
"243","Ranunculus orthorhynchus var. orthorhynchus Hook.","Ranunculaceae","S3","G5T5",NA,TRUE,"Ranunculus","orthorhynchus","Ranunculus orthorhynchus var. orthorhynchus","var.","orthorhynchus"
"244","Ranunculus pacificus (Hulten) L.D. Benson","Ranunculaceae","S3S4","G3","BLM Sensitive",FALSE,"Ranunculus","pacificus","Ranunculus pacificus","NULL","NULL"
"245","Ranunculus ponojensis (Markl.) Ericsson","Ranunculaceae","S2","GNR","BLM Sensitive",FALSE,"Ranunculus","ponojensis","Ranunculus ponojensis","NULL","NULL"
"246","Ranunculus sabinei R. Brown","Ranunculaceae","S1","G4",NA,FALSE,"Ranunculus","sabinei","Ranunculus sabinei","NULL","NULL"
"247","Ranunculus turneri ssp. turneri Greene","Ranunculaceae","S2","G3TNR","BLM Sensitive",TRUE,"Ranunculus","turneri","Ranunculus turneri ssp. turneri","ssp.","turneri"
"248","Romanzoffia unalaschcensis Cham.","Hydrophyllaceae","S3S4","G3G4","USFS, BLM Sensitive",FALSE,"Romanzoffia","unalaschcensis","Romanzoffia unalaschcensis","NULL","NULL"
"249","Rorippa curvisiliqua (Hooker) Bessey ex Britton","Brassicaceae","S1S2","G5",NA,FALSE,"Rorippa","curvisiliqua","Rorippa curvisiliqua","NULL","NULL"
"250","Rosa woodsii ssp. woodsii Lindl.","Rosaceae","S2S3","G5T5","BLM Watch",TRUE,"Rosa","woodsii","Rosa woodsii ssp. woodsii","ssp.","woodsii"
"251","Rumex aureostigmaticus Kom.","Polygonaceae","S1","GNR","BLM Sensitive",FALSE,"Rumex","aureostigmaticus","Rumex aureostigmaticus","NULL","NULL"
"252","Rumex beringensis V.V.Petrovsky","Polygonaceae","S3","G3","BLM Sensitive",FALSE,"Rumex","beringensis","Rumex beringensis","NULL","NULL"
"253","Rumex krausei V.V.Petrovsky","Polygonaceae","S2","G2","BLM Sensitive",FALSE,"Rumex","krausei","Rumex krausei","NULL","NULL"
"254","Salix athabascensis Raup.","Salicaceae","S2","G4G5",NA,FALSE,"Salix","athabascensis","Salix athabascensis","NULL","NULL"
"255","Salix candida Flugge ex Willd.","Salicaceae","S3","G5",NA,FALSE,"Salix","candida","Salix candida","NULL","NULL"
"256","Salix hookeriana Barratt ex Hook.","Salicaceae","S2S3","G5",NA,FALSE,"Salix","hookeriana","Salix hookeriana","NULL","NULL"
"257","Salix nummularia Andersson","Salicaceae","SH","G5",NA,FALSE,"Salix","nummularia","Salix nummularia","NULL","NULL"
"258","Salix planifolia Pursh","Salicaceae","S2","G5T5","BLM Watch",FALSE,"Salix","planifolia","Salix planifolia","NULL","NULL"
"259","Salix prolixa Andersson","Salicaceae","S1","G5",NA,FALSE,"Salix","prolixa","Salix prolixa","NULL","NULL"
"260","Saussurea americana D. C. Eaton","Asteraceae","S2S3","G5",NA,FALSE,"Saussurea","americana","Saussurea americana","NULL","NULL"
"261","Saussurea triangulata Trautvetter & C.A. Meyer","Asteraceae","S1","GNR",NA,FALSE,"Saussurea","triangulata","Saussurea triangulata","NULL","NULL"
"262","Saxifraga adscendens ssp. oregonensis (Raf.) Bacig.","Saxifragaceae","S2S3","G5T4T5","BLM Watch",TRUE,"Saxifraga","adscendens","Saxifraga adscendens ssp. oregonensis","ssp.","oregonensis"
"263","Saxifraga aizoides L.","Saxifragaceae","S1","G5",NA,FALSE,"Saxifraga","aizoides","Saxifraga aizoides","NULL","NULL"
"264","Saxifraga aleutica Hulten","Saxifragaceae","S2S3","G2G3",NA,FALSE,"Saxifraga","aleutica","Saxifraga aleutica","NULL","NULL"
"265","Saxifraga rivularis ssp. arctolitoralis (Jurtzev & V.V. Petrovsky) M.H. Jrgensen & Elven","Saxifragaceae","S2","G5T2T3","BLM Watch",TRUE,"Saxifraga","rivularis","Saxifraga rivularis ssp. arctolitoralis","ssp.","arctolitoralis"
"266","Schizachne purpurascens (Torr.) Swallen","Poaceae","S2","G5",NA,FALSE,"Schizachne","purpurascens","Schizachne purpurascens","NULL","NULL"
"267","Schoenoplectus pungens (Vahl) Palla","Cyperaceae","S1","G4G5",NA,FALSE,"Schoenoplectus","pungens","Schoenoplectus pungens","NULL","NULL"
"268","Schoenoplectus subterminalis (Torr.) Sojak","Cyperaceae","S2","G4G5",NA,FALSE,"Schoenoplectus","subterminalis","Schoenoplectus subterminalis","NULL","NULL"
"269","Scolochloa festucacea (Willd.) Link","Poaceae","S2","G5",NA,FALSE,"Scolochloa","festucacea","Scolochloa festucacea","NULL","NULL"
"270","Sedum divergens S. Watson","Crassulaceae","S1","G5?",NA,FALSE,"Sedum","divergens","Sedum divergens","NULL","NULL"
"271","Sedum oreganum var. oreganum Nuttall","Crassulaceae","S1","G5",NA,TRUE,"Sedum","oreganum","Sedum oreganum var. oreganum","var.","oreganum"
"272","Selaginella wallacei Hieronymus","Selaginellaceae","S1","G5",NA,FALSE,"Selaginella","wallacei","Selaginella wallacei","NULL","NULL"
"273","Senecio cannabifolius Lessing","Asteraceae","S2","G4",NA,FALSE,"Senecio","cannabifolius","Senecio cannabifolius","NULL","NULL"
"274","Sidalcea hendersonii S. Watson","Malvaceae","S1","G3","USFS",FALSE,"Sidalcea","hendersonii","Sidalcea hendersonii","NULL","NULL"
"275","Sieversia pentapetala (L.) Greene","Rosaceae","S2S3","G3G4",NA,FALSE,"Sieversia","pentapetala","Sieversia pentapetala","NULL","NULL"
"276","Silene uralensis ssp. ogilviensis (A.E. Porsild) D.F. Brunt.","Caryophyllaceae","S1Q","G4G5T2",NA,TRUE,"Silene","uralensis","Silene uralensis ssp. ogilviensis","ssp.","ogilviensis"
"277","Sisyrinchium montanum var. montanum Greene","Iridaceae","S1","G5",NA,TRUE,"Sisyrinchium","montanum","Sisyrinchium montanum var. montanum","var.","montanum"
"278","Smelowskia johnsonii G.A. Mulligan","Brassicaceae","S1","G1","BLM Sensitive",FALSE,"Smelowskia","johnsonii","Smelowskia johnsonii","NULL","NULL"
"279","Smelowskia media (W.H. Drury & Rollins) Velichkin","Brassicaceae","S2S3","GNR",NA,FALSE,"Smelowskia","media","Smelowskia media","NULL","NULL"
"280","Smelowskia pyriformis W.H. Drury & Rollins","Brassicaceae","S3","G3","BLM Sensitive",FALSE,"Smelowskia","pyriformis","Smelowskia pyriformis","NULL","NULL"
"281","Sphenopholis intermedia (Rydb.) Rydb.","Poaceae","S1","G5",NA,FALSE,"Sphenopholis","intermedia","Sphenopholis intermedia","NULL","NULL"
"282","Stachys mexicana Benth.","Lamiaceae","S1","G5",NA,FALSE,"Stachys","mexicana","Stachys mexicana","NULL","NULL"
"283","Stellaria ruscifolia ssp. aleutica Hulten","Caryophyllaceae","S2S3","G4T3",NA,TRUE,"Stellaria","ruscifolia","Stellaria ruscifolia ssp. aleutica","ssp.","aleutica"
"284","Stellaria umbellata Turczaninow","Caryophyllaceae","S3S4","G5",NA,FALSE,"Stellaria","umbellata","Stellaria umbellata","NULL","NULL"
"285","Suaeda calceoliformis (Hook.) Moq.","Amaranthaceae","S1S2","G5",NA,FALSE,"Suaeda","calceoliformis","Suaeda calceoliformis","NULL","NULL"
"286","Symphoricarpos albus (L.) (L.) S.F. Blake","Caprifoliaceae","S2","G5",NA,FALSE,"Symphoricarpos","albus","Symphoricarpos albus","NULL","NULL"
"287","Symphyotrichum falcatum var. falcatum (Lindl.) G.L. Nesom","Asteraceae","S1S2","G5T4T5",NA,TRUE,"Symphyotrichum","falcatum","Symphyotrichum falcatum var. falcatum","var.","falcatum"
"288","Symphyotrichum pygmaeum (Lindl.) Brouillet & S.Selliah","Asteraceae","S2","G2G4","BLM Sensitive",FALSE,"Symphyotrichum","pygmaeum","Symphyotrichum pygmaeum","NULL","NULL"
"289","Symphyotrichum yukonense (Cronquist) G.L. Nesom","Asteraceae","S3","G3","BLM Sensitive",FALSE,"Symphyotrichum","yukonense","Symphyotrichum yukonense","NULL","NULL"
"290","Tanacetum camphoratum Less.","Asteraceae","S1","G5T4T5","USFS",FALSE,"Tanacetum","camphoratum","Tanacetum camphoratum","NULL","NULL"
"291","Taxus brevifolia Nutt.","Taxaceae","S3","G4G5",NA,FALSE,"Taxus","brevifolia","Taxus brevifolia","NULL","NULL"
"292","Thalictrum minus ssp. kemense (Fr.) Cajander","Ranunculaceae","S2","GNR",NA,TRUE,"Thalictrum","minus","Thalictrum minus ssp. kemense","ssp.","kemense"
"293","Thalictrum occidentale A. Gray","Ranunculaceae","S2S3","G5",NA,FALSE,"Thalictrum","occidentale","Thalictrum occidentale","NULL","NULL"
"294","Tiarella trifoliata var. laciniata (Hook) Wheelock","Saxifragaceae","S3","G5T5?",NA,TRUE,"Tiarella","trifoliata","Tiarella trifoliata var. laciniata","var.","laciniata"
"295","Townsendia hookeri Beaman","Asteraceae","S1","G5",NA,FALSE,"Townsendia","hookeri","Townsendia hookeri","NULL","NULL"
"296","Trichophorum pumilum (Vahl) Schinz & Thell.","Cyperaceae","S1","G5",NA,FALSE,"Trichophorum","pumilum","Trichophorum pumilum","NULL","NULL"
"297","Trisetum sibiricum ssp. litorale Rupr. Ex Roshev.","Poaceae","S3","G5T4Q",NA,TRUE,"Trisetum","sibiricum","Trisetum sibiricum ssp. litorale","ssp.","litorale"
"298","Trollius membranostylis Hulten","Ranunculaceae","S1","G4G5",NA,FALSE,"Trollius","membranostylis","Trollius membranostylis","NULL","NULL"
"299","Veronica grandiflora Gaertn.","Plantaginaceae","S2S3","G3",NA,FALSE,"Veronica","grandiflora","Veronica grandiflora","NULL","NULL"
"300","Vicia americana Muhl. ex Willd.","Fabaceae","S2","G5","BLM Watch",FALSE,"Vicia","americana","Vicia americana","NULL","NULL"
"301","Viola selkirkii Pursh ex Goldie","Violaceae","S3S4","G5?",NA,FALSE,"Viola","selkirkii","Viola selkirkii","NULL","NULL"
"302","Viola sempervirens Greene","Violaceae","S1","G5",NA,FALSE,"Viola","sempervirens","Viola sempervirens","NULL","NULL"
"303","Zannichellia palustris ssp. palustris L.","Potamogetonaceae","S3S4","G5",NA,TRUE,"Zannichellia","palustris","Zannichellia palustris ssp. palustris","ssp.","palustris"
