"","sciname_with_author","family","state_rank","global_rank","federal_listing","ssp_var","genus","species","sciname_only","intraspecific_qualifier","intraspecies"
"39","Botrychium spathulatum W.H. Wagner","Ophioglossaceae","S1","G3","USFS, BLM Sensitive",FALSE,"Botrychium","spathulatum","Botrychium spathulatum","NULL","NULL"
"40","Botrychium tunux Stensvold & Farrar","Ophioglossaceae","S2","G3G4","USFS",FALSE,"Botrychium","tunux","Botrychium tunux","NULL","NULL"
"41","Botrychium virginianum (L.) Swartz","Ophioglossaceae","S3","G5",NA,FALSE,"Botrychium","virginianum","Botrychium virginianum","NULL","NULL"
"42","Botrychium yaaxudakeit Stensvold & Farrar","Ophioglossaceae","S2","G3G4","USFS",FALSE,"Botrychium","yaaxudakeit","Botrychium yaaxudakeit","NULL","NULL"
"43","Brasenia schreberi J.F. Gmel.","Cabombaceae","S1","G5",NA,FALSE,"Brasenia","schreberi","Brasenia schreberi","NULL","NULL"
"44","Cardamine angulata Hooker","Brassicaceae","S1S2","G5",NA,FALSE,"Cardamine","angulata","Cardamine angulata","NULL","NULL"
"45","Cardamine blaisdellii Eastwood","Brassicaceae","S3S4","G3G4","BLM Watch",FALSE,"Cardamine","blaisdellii","Cardamine blaisdellii","NULL","NULL"
"46","Cardamine microphylla J.E. Adams","Brassicaceae","S2","G3G4",NA,FALSE,"Cardamine","microphylla","Cardamine microphylla","NULL","NULL"
"47","Cardamine pensylvanica Muhlenberg ex Willdenow","Brassicaceae","S1","G5",NA,FALSE,"Cardamine","pensylvanica","Cardamine pensylvanica","NULL","NULL"
"48","Carex adelostoma V. I Krecz.","Cyperaceae","S1S2","G4",NA,FALSE,"Carex","adelostoma","Carex adelostoma","NULL","NULL"
"49","Carex atherodes Spreng.","Cyperaceae","S3S4","G5",NA,FALSE,"Carex","atherodes","Carex atherodes","NULL","NULL"
"50","Carex athrostachya Olney","Cyperaceae","S1","G5",NA,FALSE,"Carex","athrostachya","Carex athrostachya","NULL","NULL"
"51","Carex atratiformis Britton","Cyperaceae","S3","G5",NA,FALSE,"Carex","atratiformis","Carex atratiformis","NULL","NULL"
"52","Carex bebbii Olney ex Fernald","Cyperaceae","S1","G5",NA,FALSE,"Carex","bebbii","Carex bebbii","NULL","NULL"
"53","Carex deflexa var. deflexa Hornem.","Cyperaceae","S2S3","G5","BLM Watch",TRUE,"Carex","deflexa","Carex deflexa var. deflexa","var.","deflexa"
"54","Carex deweyana var. deweyana Schwein.","Cyperaceae","S2S3","G5",NA,TRUE,"Carex","deweyana","Carex deweyana var. deweyana","var.","deweyana"
"55","Carex eburnea Boott","Cyperaceae","S3","G5",NA,FALSE,"Carex","eburnea","Carex eburnea","NULL","NULL"
"56","Carex echinata ssp. echinata Murray","Cyperaceae","S1S2","G5T5",NA,TRUE,"Carex","echinata","Carex echinata ssp. echinata","ssp.","echinata"
"57","Carex glareosa ssp. pribylovensis (Macoun) G. Halliday & Chater","Cyperaceae","S2","G4G5T2T3",NA,TRUE,"Carex","glareosa","Carex glareosa ssp. pribylovensis","ssp.","pribylovensis"
"58","Carex heleonastes Ehrh. Ex L. f.","Cyperaceae","S3","G4",NA,FALSE,"Carex","heleonastes","Carex heleonastes","NULL","NULL"
"59","Carex hoodii Boott","Cyperaceae","S1","G5",NA,FALSE,"Carex","hoodii","Carex hoodii","NULL","NULL"
"60","Carex interior L.H. Bailey","Cyperaceae","S3","G5",NA,FALSE,"Carex","interior","Carex interior","NULL","NULL"
"61","Carex lapponica O. Lang","Cyperaceae","S3S4","G4G5Q",NA,FALSE,"Carex","lapponica","Carex lapponica","NULL","NULL"
"62","Carex laxa Wahlenberg","Cyperaceae","S1S2","G5?","BLM Sensitive",FALSE,"Carex","laxa","Carex laxa","NULL","NULL"
"63","Carex parryana Dewey","Cyperaceae","S2","G4","BLM Sensitive",FALSE,"Carex","parryana","Carex parryana","NULL","NULL"
"64","Carex peckii Howe","Cyperaceae","S2","G4G5","BLM Watch",FALSE,"Carex","peckii","Carex peckii","NULL","NULL"
"65","Carex phaeocephala Piper","Cyperaceae","S3","G4","BLM Watch",FALSE,"Carex","phaeocephala","Carex phaeocephala","NULL","NULL"
